iso	alternate names	affiliation	affiliation-HH	country	dialects	language status	language use	location	population numeric	typology	writing
lhn	Lanan, Lanun	Austronesian, Malayo-Polynesian, North Borneo, Melanau-Kajang, Kajang	Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Sarawak-Melanau-Kajang, Melanau-Kajang, Kajang, Kajaman-Lahanan	Malaysia (Peninsular)	Most similar to Kajaman [kag].	6b (Threatened).	NA	Central Sarawak, east of Belaga, southwest of Long Murum.	350	NA	Unwritten.
lhp	Lhobikha, Taba-Damey-Bikha	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish	Sino-Tibetan, Himalayish, Lhokpu	Bhutan	NA	6b (Threatened).	NA	Southwest Bhutan, Samtsi District between Samtsi and Phuntsoling; Taba Damtey, Loto Kuchu, Sanglong, Sataka, and Lotu villages.	2500	NA	Unwritten.
lhs	NA	Afro-Asiatic, Semitic, Central, Aramaic, Eastern, Central, Northwestern	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Aramaic, Eastern Aramaic, Central Eastern Aramaic	Syria	Similar to Turoyo [tru].	10 (Extinct).	"Mlahs\""o was still spoken by a handful of people in 1970s. One nearly deaf woman still knew Mlahs\""o well, but had no one to speak it to (1999)."	Qamishli town; Diyarbakir Province, Turkey.	0	NA	NA
lht	Loh-Toga	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Northern Vanuatu, Torres-Banks linkage	Vanuatu	Lo, Toga.	6a (Vigorous).	Potentially endangered (2000 D. Tryon). Most key domains. Used by 80% of children. Positive attitudes.	Torres Islands.	650	NA	NA
lhu	Kaixien, Kucong, Kutsong, Lahuna, Laku, Lohei, Moso, Muhso, Mussar, Musso, Mussuh, Namen	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Lahoid	Viet Nam, Thailand, China, Myanmar, Laos	Na (Black Lahu, Lohei, Musser Dam, Northern Lahu), Nyi (Musse Daeng, Red Lahu, Southern Lahu), Shehleh. Standard dialectNa. Black Lahu dialect and Lahu Shi [lhi] have difficult intelligibility. Lahu Shi and Kucong Lahupu (White Lahu dialect, in Zhenyuan County, China) are distinct.	4 (Educational).	"Vigorous. Some speakers of other languages use Lahu as L2 for commerce. All domains. All ages. Positive attitudes. 20%-30% also use Chinese fluently, 50%-60% use simple Chinese, 10% can understand but not speak it. 1,000 also use L\""u [khb], Hani [hni], Plang [blr], or Wa [wbm]."	Southwest Yunnan Province, Simao prefecture, Lancang Lahu, Menglian Dai, Lahu, and Va autonomous counties; Lincang prefecture, Gengma Dai, and Va autonomous counties. Also in Laos, Myanmar, Thailand, Viet Nam.	280000	"SOV; L\""u [khb] and Hani [hni] loanwords"	Latin script.
lia	Yimba, Yumba	Niger-Congo, Atlantic-Congo, Atlantic, Southern, Limba	Atlantic-Congo, Limba	Sierra Leone	Central Limba (Gbongogbo, Tamiso), Western Limba (Sela, Tonko).	5 (Developing).	NA	North central, north of Makeni.	335000	NA	Latin script.
lib	NA	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern, Manus, West	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern Admiralty Islands, Manus, West Manus, West Manus II	Papua New Guinea	NA	6b (Threatened).	Potentially endangered (2000 D. Tryon, 2000 S. Wurm). Also use Nyindrou [lid].	Manus Province, west Manus island.	80	SVO	NA
lic	Bli, Dai, Day, Dli, Klai, La, Lai, Le, Li, Loi, Slai	Tai-Kadai, Hlai	Tai-Kadai, Hlaic, Nuclear Hlaic	China	Bendi (Baisha-Yuanmen, Local Li, Zwn), Ha (Luohua-Hayan-Baoxian), Meifu (Moifau), Qi (Gei, Tongshi-Qiandui-Baocheng). Some dialects may be separate languages. Matisoff (1988) lists 8 varietiesBaoding, Xifang, Tongshi, Baisha, Qiandiu, Heitu, Yuanmen, and Baocheng. Luowo subdialect of Ha dialect is considered the standard. Lexical similarity27% with Gelao, 26% with Dong [doc] and Qabiao [laq], 25% with Lachi [lbt].	6a (Vigorous).	Vigorous. Some local Han can also speak Hlai. All domains. All ages. Positive attitudes. Also use Mandarin Chinese [cmn], Iu Mien [ium].	Central and southern Hainan Province, Wanning, Tunchang, Danxiang, Chengmai, Baisha.	667000	NA	Latin script.
lid	Lindau, Lindrou, Nyada, Salien	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern, Manus, West	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Admiralty Islands, Eastern Admiralty Islands, Manus, West Manus, West Manus I	Papua New Guinea	Babon. Babon is in 3 southern villages.	4 (Educational).	Vigorous. All domains. All ages. Positive attitudes.	Manus Province, Manus island west coast. 10 villages.	4200	SVO	Latin script.
lie	Balobo, Bangela	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Bangi-Ntomba (C.31)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Bangi-Ntomba, Ngiri, Ngiri Riverain, Ngiri Riverain Ubangi, Ngiri Riverain Ubangi-Ripuaire, Libinzic, Libinza Ngiri	Democratic Republic of the Congo	Dialect or closely related language to Libinza [liz] or Baloi [biz].	6a (Vigorous).	NA	Equateur Province, Makanza town area on Congo river north bank.	8400	NA	NA
lif	NA	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Kiranti, Eastern	Sino-Tibetan, Himalayish, Mahakiranti, Kiranti, Limbuic	Nepal, India, Bhutan	Chaubise (Charkhole), Chhatthare (Chatthare, Chhathar), Panthare, Phedappe, Tamorkhole (Taplejunge), Yanggrokke (Yanggruppe). Related to Lohorung [lbr] and Yakkha [ybh]. Yanggrokke, Chaubise and Charkhole are minor variants of the Panthare dialect; Phedappe and Tamorkhole are similar. Chattare is less well understood by other dialect speakers. The dialect spoken in Sikkim, India, is same as Panthare. Intelligibility among all varieties 84% and higher.	5 (Developing). Language of recognized nationality (2002, NFDIN Act, No. 20, Section 2C).	Vigorous. A main group in eastern Nepal. Home, religion; mixed useFriends, work, education. Older adults and elderly. Some use among children, adolescents, and young adults. Positive attitudes. Panthare dialect is dominant in size, prestige, and language development. People prefer their own dialect, but are not negative toward others. Many adult speakers completed 5 years of school, and have good proficiency in Nepali [npi]. Nepali used often, especially among youth. Limbu is not being replaced in any domain, though children now speak more Nepali than Limbu (UNESCO 2002).	Eastern hills, east of Arun river; Koshi Zone, Dhankuta, Sankhuwasabha, Terhathum, Dhankuta, and Morang districts; Mechi Zone, Taplejung, Panchthar, Ilam, and Jhapa districts. Also in Bhutan, India.	334000	SOV; postpositions; genitives, articles, adjectives, numerals before noun heads; noun head final; content question word in situ; bipolar question word final; maximum of 3 prefixes, 6 suffixes; affixes indicate case of noun phrases; verb affixes mark subjects, objects, indirect objects-obligatory; verbal affixation marks person and number; split ergativity; reflexes conjugated intransitively can be used as a kind of passive; passives and voice; antipassives; causatives; comparatives; 16 consonant and 13 vowel phonemes; V, CV, CVC, CCV, CCVC; nontonal	Devanagari script, primary usage. Limbu (Kiranti, Sirijonga) script, dating to early 18th century.
lig	Banda, Dzowo, Jogo, Ligwi, Namasa, Nigbi, Nigwi, Tsie, Tuba, Weela, Weila, Wiila	Niger-Congo, Mande, Western, Central-Southwestern, Central, Manding-Jogo, Jogo-Jeri, Jogo	Mande, Western Mande, Manding-Kpelle, Central Mande, Manding-Jogo, Jogo-Jeri, Jogo	Ghana, C�te d'Ivoire	Atumfuor (Atumfuor-Kasa), Bungase, Dwera (Manji-Kasa), Gyogo, Hwela (Vwela, Weela, Weila, Wiila), Ntoleh.	6a (Vigorous).	Also use Akan [aka].	Numasa, northwest Brong-Ahafo Region; east of Sampa and northwest of Wenchi. Also in C\^ote d'Ivoire.	15000	NA	Unwritten.
lih	Lir	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Tabar	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Meso Melanesian linkage, New Ireland-Northwest Solomonic, Tabar linkage	Papua New Guinea	NA	4 (Educational).	Home, school, church, community. All ages. Positive attitudes. Tok Pisin [tpi] use increasing due to foreign workers at Lihir gold mining company.	New Ireland Province, Lihir and 3 smaller islands.	12600	NA	Latin script.
lii	Limkhim, Lingkhim Kulung, Lingkhim Rai, Linkhim, Saam	Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Kiranti, Eastern	Spurious, !Sino-Tibetan, !Tibeto-Burman, !Himalayish, !Mahakiranti, !Kiranti, !Central Kiranti, !Khambu	Nepal	NA	Unattested.	May have shifted to Bantawa [&lt;a href=show_language.asp?code=bap&gt;bap&lt;/a&gt;] (Hansson 1991).	Mechi Zone, Ilam district, Phikkal VDC.	97	NA	Unwritten.
lij	Ligure, Zen\'eize	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Italian	Indo-European, Italic, Latino-Faliscan, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Italian	Monaco, Italy, France	Genoese (Genoan, Genovese). Ligurian is more similar to Piemontese [pms], Lombard [lmo], and French [fra] than to standard Italian [ita].	5 (Developing).	Also use Italian [ita].	North, Liguria, east and west of Genoa along the Riviera and mountain hinterland; Saint Pietro and Saint Antioch islands off Sardinia southwest coast; Sardinia, Carloforte and Calasetta cities. Also in France, Monaco.	500000	NA	Latin script.
lik	Kilika, Kpongo, Mabiti, Toriko	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, D, Lega-Kalanga (D.201)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Ababuan, Old Bomokandian, Middle Bomokandian	Democratic Republic of the Congo	Lik\'o (Ik\'o), Lilik\'a (Lik\'a), Lilik\'o. Lexical similarity65%-70% with Bomokandi Kango [kty]; 55%-60% with Pagibete [pae], Bwa [bww], and U\'el\'e Kango [kty]; 52% with Bali [bcp]; 51% with Ngelima [agh]; 46% with Komo [kmw]; 40% with Bhele [bhy], Bila [bip], and Bera [brf]; 30% with Budu [buu]; 25% with Lega languages and Lingala [lin].	5 (Developing).	Also use Congo Swahili [swc] in south Wamba zone, Bangala [bxg], the Meje dialect of Mangbetu [mdj], or Budu [buu].	Orientale Province, Haut-U\'el\'e district, Wamba territory, Balika-Toriko collectivit\'e; Rungu territory, Mongomasi collectivit\'e.	60000	NA	Latin script.
lil	St'at'imcets	Salish, Interior	Salishan, Interior Salish, Northern Interior Salish	Canada	Lower Lillooet, Upper Lillooet. The bands associated with the 2 dialects are culturally and politically distinct.	7 (Shifting).	Active language retention programs at Mount Currie and Lillooet. Older adults. Extensive bilingualism in English [eng].	South British Columbia, Lillooet and middle Fraser river area.	310	NA	NA
lim	Limberger, Limburgan, Limburgian, Limburgic, Limburgs Plat	Indo-European, Germanic, West, High German, German, Middle German, West Middle German, Rhenisch Franconian	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, High Franconian	Belgium, Netherlands, Germany	"A Rhenisch-Maas group of dialects, often combined with Cleves dialects (Kleverl\""andisch) as Rheinmaasl\""andisch. Limburgish straddles the border between, Low Franconian and Middle Franconian varieties. More-or-less mutually intelligible with Ripuarian dialects, but show fewer, High German shifts (2001 R. Hahn)."	2 (Provincial). Statutory provincial language in Limburg Province (1996, Ratification Act, ECRML, No. 136), effective 1997.	Spoken by 50%-90% of the population in Limburg Province. All domains, songs. All ages. Also use Dutch [nld] or German [deu].	Limburg Province, Maastricht, Heerlen, Roermond, Venlo. Also in Belgium, Germany.	700000	NA	Latin script.
lin	Ngala	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Bangi-Ntomba (C.36)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Bangi-Ntomba, Ngiri, Ngiri Riverain, Ngiri Riverain Ubangi, Ngiri Riverain Ubangi-Ripuaire, Bobangic, Bobangic Riverain, Bobangi-Bangala-Lingala, Lingala-Bangala	Democratic Republic of the Congo, Congo, Central African Republic	Similar to Lusengo [lse] and Bangala [bxg]. Lexical similarity33% with Bobangi [bni].	2 (Provincial). Statutory provincial language in northwestern regions (2006, Constitution, Article 1(8)).	NA	Widespread in Bandundu, Equateur, and Orientale provinces, but not southeast Orientale. Also in Central African Republic, Congo.	2040000	SVO	Latin script.
lio	Moar	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Sarmi-Jayapura Bay, Sarmi	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Sarmi-Jayapura Bay, Sarmi	Indonesia (Papua)	Similar to Sobei [sob].	8a (Moribund).	Not used by youth. Adults more. Bilingual in Indonesian [ind], Papuan Malay [pmy].	Papua Province, Sarmi regency, Sarmi subdistrict, Islands off north coast of Sarmi.	11	NA	NA
lip	Bosele, Likpe, Mu	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Lelemi, Likpe-Santrokofi	Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Na-Togo, Lelemic, Likpe-Santrokofi	Ghana	Sekpele, Sekwa.	5 (Developing).	Vigorous. All domains. All ages. Some also use Akan [aka] or \'Ew\'e [ewe].	Southeast, north of Hohoe.	23400	NA	Latin script, used since 2002.
liq	Marako, Maraqo	Afro-Asiatic, Cushitic, East, Highland	Afro-Asiatic, Cushitic, East Cushitic, Highland East Cushitic, Sidaama-Hadiyya-Kambaata, Hadiyya-Kambaata, Hadiyyaic	Ethiopia	Syntactic, morphological, and lexical differences from Hadiyya [hdy]. Lexical similarity82% with Hadiyya [hdy], 57% with Kambaata [ktb], 56% with Alaba-Kabeena [alw], 53% with Sidamo [sid].	6a (Vigorous).	9,208 L2 speakers.	Southern Nations, Nationalities and Peoples Region (SNNPR), Hadiyya, Kambaata, and Gurage zones, northeast of Hosaina.	64400	SOV; passive, reflexive, causative, middle voice verbs	Unwritten.
lir	Liberian Pidgin English	Pidgin, English based, Atlantic	Pidgin, English based pidgin	Liberia	Kru Pidgin English. Regional dialects.	3 (Wider communication).	1,500,000 L2 speakers (1984 census).	NA	NA	NA	NA
lis	Chedi, Cheli, Chung, Khae, Leisu, Leshuoopa, Lesuo, Li, Li-Hsaw, Lip'a, Lisaw, Li-Shaw, Lishu, Liso, Lissu, Loisu, Lusu, Lu-Tzu, Yao Yen, Yaw Yin, Yaw-Yen, Yeh-Jen	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Lisoid, Nuclear Lisoid, Lisu-Laluba-Lavu	India, China, Myanmar, Thailand	Bai Lisu (White Lisu), Dechang Lisu, Hei Lisu (Black Lisu), Hua Lisu (Flowery Lisu), Lu Shi Lisu, Ninglang Lisu, Northern Lisu, Nujiang Lisu, Shibacha Lisu, Western Lisu. Much dialectal variation; some do not understand each other.	5 (Developing).	"Vigorous. Speakers of other languages in the area use Lisu for administration, religion, and bilingual education in schools. Some 7,000 members of the Nu nationality in China, and more in Myanmar, speak only Lisu; many more Nu and others speak Lisu as a L2. In Drung and Nu areas, oral and written Lisu are used for Christian activities. All domains. All ages. Positive attitudes. Also use Chinese. 150,000 can also use Bai [bca], Tibetan [bod], Naxi [nxq], L\""u [khb], or Jingpho [kac]. Chinese is used in secondary schools."	West Yunnan Province, 11 prefectures, 63 counties, upper reaches of Salween and Mekong rivers; Sichuan Province, southwest Liangshan prefecture. Also in India, Myanmar, Thailand.	600000	SOV; tonal, 6 tones	Latin script, consistent across country borders. Lisu (Fraser) script.
lit	Lietuvi, Lietuviskai, Litauische, Litewski, Litovskiy	Indo-European, Baltic, Eastern	Indo-European, Balto-Slavic, Eastern Baltic	Brazil, Canada, Kyrgyzstan, Belarus, Turkmenistan, Estonia, Uruguay, Tajikistan, Poland, Lithuania, Uzbekistan, Latvia, United Kingdom, United States, Sweden, Australia, Russian Federation (Asia), Argentina, Kazakhstan	Aukshtaitish (Aukshtaichiai, Aukstaitiskai, Highland Lithuanian), Dzukish (Dzukiskai), Shamaitish (Lowland Lithuanian, Samogitian, Zemachiai, Zemaitis, Zemaitiskai, Zhemaitish), Suvalkietiskai. Aukstaitiskai easily understand Suvalkai, Dzukai with some difficulty, and vice versa; Zemaitiskai difficult for others to understand.	1 (National). Statutory national language (1992, Constitution, Article 14).	All domains. All ages. Also use Russian [rus] or English [eng]. Some have reserved attitudes toward Russian and Polish [pol] use.	Widespread. Also in Argentina, Belarus, Brazil, Canada, Estonia, Kazakhstan, Kyrgyzstan, Latvia, Poland, Russian Federation, Tajikistan, Turkmenistan, United Kingdom, United States, Uruguay, Uzbekistan.	2960000	Postpositions; genitives, relatives after noun heads	Gothic script, no longer in use. Latin script.
liu	Liguri	Nilo-Saharan, Eastern Sudanic, Western, Daju, Eastern Daju	Daju, Eastern Daju	Sudan	Liguri, Saburi, Tallau (Talau, Talo, Tilow). Lexical similarity64% with Shatt [shj], 56% with Dar Fur Daju [daj] (Nyala and Lagowa), 57% with Dar Sila Daju [dau].	7 (Shifting).	Also use Sudanese Spoken Arabic [apd].	South Kordofan State, Jebel Liguri and hills 15 km northeast of Kadugli.	2000	NA	Latin script.
liv	Liv\~o kel, Livonian	Uralic, Finnic	Uralic, Finnic	Latvia	Eastern Livonian (Vidzeme), Western Livonian (Kurzeme, Raandalist).	8b (Nearly extinct).	Eastern Livonian has no remaining speakers. Also use Standard Latvian [lvs] or Russian [rus].	Kurzeme, west of Kolkasrags, 8 coastal villages; Riga area dispersed.	15	NA	Latin script.
liw	Cul, Sindang	Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Nuclear Malayic, Middle Sumatra Malay	Indonesia (Papua)	Beliti; Lubuk Linggau, Lembak Delapan, Sindang Kelingi.	6a (Vigorous).	Vigorous. Home, village. All ages. Positive attitudes. Indonesian [ind] used in civic and educational domains. Urban Palembang, a dialect of Musi [mui], used as a trade language with neighboring groups.	Interior of South Sumatra, Lubuklinggau area and east of Bengkulu; Muaraklingi area, south, east, and north.	145000	NA	NA
lix	NA	Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Muna-Buton, Nuclear Muna-Buton, Munan, Munic, Western	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Celebic, Eastern Celebic, Southeastern Celebic, Muna-Buton, Nuclear Muna-Buton, Munan, Munic, Western Munic	Indonesia (Papua)	Quite divergent from other Muna varieties. Lexical similarity82% with the Burukene dialect of Muna [mnb], 72%-76% with other Muna dialects, 72% with Muna, 75% with Kioko [ues].	8a (Moribund).	All users are older adults. Also use Wolio [wlo] and Indonesian [ind].	Southeast Sulawesi, Bungi subdistrict, south Buton island, part of Liabuku village north of Bau-Bau.	75	NA	NA
liy	Banda of Bambari, Banda-Linda	Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Banda, Central, Central Core, Banda-Bambari	Atlantic-Congo, Volta-Congo, North Volta-Congo, Adamawa-Ubangi, Ubangi, Banda, Central Banda, Central Core Banda, Banda-Bambari	Central African Republic	Gbende, Joto (Jeto), Linda, Ndokpa, Ngapo (Ngapu).	6a (Vigorous).	Also use Sango [sag].	Ouaka Prefecture, Bambari, Ippy, Grimari, and Bakala subprefectures; Basse-Kotto Prefecture, Alindao subprefecture.	183000	NA	Latin script.
liz	Libinja	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Bangi-Ntomba (C.321)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Central-Western Bantu, Greater Bangi-Ntomba, Ngiri, Ngiri Riverain, Ngiri Riverain Ubangi, Ngiri Riverain Ubangi-Ripuaire, Libinzic, Libinza Ngiri	Democratic Republic of the Congo	Boniange, Kutu, Monia. Dialects or closely related languagesBalobo (Likila) [lie] and Ndobo [ndw].	6a (Vigorous).	NA	Equateur Province, Sud Ubangi, Kungu territory; Equateur district, northern Bomongo territory, on Ngiri and Mwanda rivers, Monia and Boniange villages southward; on islands as far as Bomongo.	10000	NA	NA
lja	Golba, Golbu, Gorlba, Kolpa	Australian, Pama-Nyungan, Yuulngu	NA	Australia	NA	10 (Extinct).	NA	Northern Territories, Wessels, Elcho, Murru'ga.	0	NA	NA
lje	Ha'uwa, Leboni, Rampi-Leboni	Austronesian, Malayo-Polynesian, Celebic, Kaili-Pamona, Southern	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Celebic, Kaili-Pamona-Wotu-Wolio, Kaili-Pamona, Southern Kaili-Pamona	Indonesia (Papua)	Rampi (Lambu), Rato. Leboni is prestige dialect.	6b (Threatened).	Vigorous in some villages.	South Sulawesi Province, Luwu Utara regency, Rampi district, 6 isolated mountain villages; also scattered in Sabbang, Limbong, Wotu, and Mangkutana districts. Also, Central Sulawesi Province.	10000	NA	Latin script.
lji	Barang-Barang, Da'ang	Austronesian, Malayo-Polynesian, Celebic, Wotu-Wolio, Kalao	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Celebic, Kaili-Pamona-Wotu-Wolio, Wotu-Wolio, Kalao-Laiyolo	Indonesia (Papua)	Barang-Barang (Loa, Loa', Lowa), Laiyolo (Lajolo, Layolo). Lexical similarity86% between Laiyolo and Barang-Barang dialect, 76% with Kalao [kly], 65% with Wolio [wlo], 53% with Wotu [wtw], 39% with Muna [mnb].	6b (Threatened).	Vigorous in Barang-Barang dialect. Mainly adults in Laiyolo; all ages in Barang-Barang. Selayar [sly] is main L2; little Indonesian [ind].	South Sulawesi Province, Laiyolo, Barang-Barang, Lowa, and other villages. Selayar island south tip.	800	NA	NA
ljl	Aku, Lio, Lionese, Tanah Kunu	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Bima-Lembata	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Flores-Sumba-Hawu, Flores Barat, Ngada-Lio-Paluqe, Ngada-Lio, Ende-Lio	Indonesia (Papua)	Dialect subgroup with Ende [end].	6a (Vigorous).	NA	East Nusa Tenggara Province. East central Flores island, bi-coastal, between Sika [ski] and Ende [end] language areas.	105000	NA	NA
ljp	Api, Lampong, Lampung, Lampung Pesisir	Austronesian, Malayo-Polynesian, Lampung	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Lampungic	Indonesia (Papua)	Daya, Krui (Kroe, Kru'i, Njo, Western Lampung), Pubian, Ranau, Southern Pesisir, Sungkai.	6b (Threatened).	Outside of the city, home and village everyday. All ages. Positive attitudes. Also use Indonesian [ind].	Sumatra, west, central, and south Lampung Province; south Benkulu Province around Krui, Sanggi, and Kotajawa; South Sumatra Province, south of Muaradua, near headwaters of Kanan river.	827000	NA	Latin script. Kaganga script.
ljw	Dalebura, Dal-leyburra, Irendely, Pooroga, Yerrundulli, Yerrunthully	Australian, Pama-Nyungan, Maric	NA	Australia	NA	8b (Nearly extinct).	NA	QueenslandCaledonia; Corfield; Dutton river; Flinders river; Great Dividing range; Hughenden; Lammermooor; Landsborough creek; Mount Sturgeon; Richmond; Tangorin; Torrens creek; Tower Hill creek; Winton.	NA	NA	NA
ljx	Arwur-angkana, Euronbba, Mal Mal, Malmal, South Murri	Australian, Pama-Nyungan, Dyirbalic	Pama-Nyungan, Herbert River, Nyawaygic	Australia	NA	10 (Extinct).	NA	Queenslandfrom Bowen north to the Burdekin river at Home Hill; southwest to Bogie range; at Upstart bay; south to Mount Pleasant and Mount Abbot.	0	NA	NA
lka	NA	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Timor-Babar, Nuclear Timor	Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Timoric B, Eastern Timoric B	East Timor	Similar to Idate [idt], Tetun [tet], and Galolen [gal].	6b (Threatened).	NA	Central Timor island, north of Same, northeast of Ainaro.	3250	NA	Latin script.
lkb	Kabras	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, J, Masaba-Luyia (E.31)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Great Lakes Bantu, Greater Luyia, Luyia, Saamia-Wanga-Bukusu, Bukusuic	Kenya	Similar to Lutachoni [lts].	4 (Educational).	All domains. Also use Kiswahili [swh], English [eng] or other Oluluyia [luy] varieties.	Western Province, Lugari and Kakamega districts.	253000	NA	NA
lkc	Cosung, Lahlu	Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Lahoid	Viet Nam, China	Most similar to Lahu [lhu].	7 (Shifting).	NA	Lai Chau Province, Muang Te district. Also in China.	6870	NA	NA
lkd	NA	Nambiquaran, Kith\~aulh\'u	Nambiquaran, Nambikwara Complex, Northern Nambiquaran, Roosevelt	Brazil	Similar to Latund\^e [ltn] and Tawand\^e [xtw].	8b (Nearly extinct).	NA	Rond\^onia, Vilhena Village.	1	NA	NA
lke	Kenyi, Lukenhe, Lukenye, Lukenyi	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, J, Nyoro-Ganda (E.10)	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Great Lakes Bantu, West Nyanza, North Nyanza, Soga-Kenyi	Uganda	Lukenye-Ludebede, Lukenye-Lukooli. Kenye, Lamogi [xog], Siginyi [xog], and Gwere [gwr] are mutually intelligible. Lexical similarity81% with Soga [xog], 71%-86% with Ganda [lug], 64% with Gwere [gwr], 58% with Saamia [lsm].	6a (Vigorous).	Prefer to use surrounding languages outside the home; seldom identify themselves as BaKenye. They shy away from their true identity for fear of being marginalized and discriminated against (Abdallah 2004). Mostly home. All ages. Mixed attitudes. Also use Ganda [lug], Teso [teo], a Soga [xog] variety, Gwere [gwr], or Saamia [lsm].	Lake Victoria and Lake Kyoga basin, Buyende, Kaliro, Pallisa, Serere, and Mayuge districts; pockets in Kamuli, Kaberamaido, Kayunga, Bugiri, and Busia districts.	62000	NA	Unwritten.
