language	glottocode	iso
Samaritan	sama1313	smp
Samarokena	sama1240	tmj
Samatao	sama1295	ysd
Samatu	sama1296	NA
Samba Daka	samb1311	ccg
Samba Leko	samb1305	ndi
Sambalpuri	samb1325	spv
Sambe	samb1307	xab
Samberigi	samb1321	ssx
Samburu	samb1315	saq
Samei	same1240	smh
Samo	samo1303	smq
Samoan Plantation Pidgin	samo1307	NA
Samoan	samo1305	smo
Samosa	samo1306	swm
Sampang	samp1249	rav
Samre or Siem Reap	samr1245	sxm
Samtao	samt1238	stu
Samvedi	samv1238	smv
San Agustin Mixtepec Zapotec	sana1286	ztm
San Andres Creole English	sana1297	icr
San Baltazar Loxicha Zapotec	sanb1241	zpx
San Blas Kuna	sanb1242	cuk
San Dionisio del Mar Huave	sand1278	hve
San Felipe Otlaltepec Popoloca	sanf1264	pow
San Francisco Matlatzinca	sanf1262	mat
San Francisco Solano	sanf1266	NA
San Francisco del Mar Huave	sanf1258	hue
San Jeronimo Tecoatl Mazatec	sanj1286	maa
San Juan Atzingo Popoloca	sanj1285	poe
San Juan Colorado Mixtec	sanj1281	mjc
San Juan Guelavia Zapotec	sanj1284	zab
San Juan Teita Mixtec	sanj1282	xtj
San Luis Temalacayuca Popoloca	sanl1248	pps
San Marcos Tlalcoyalco Popoloca	sanm1301	pls
San Martin Itunyoso Triqui	sanm1298	trq
San Martin Quechua	sanm1289	qvs
San Mateo del Mar Huave	sanm1287	huv
San Miguel Creole French	sanm1305	scf
San Miguel El Grande Mixtec	sanm1295	mig
San Miguel Piedras Mixtec	sanm1294	xtp
San Pedro Amuzgos Amuzgo	sanp1260	azg
San Pedro Quiatoni Zapotec	sanp1261	zpf
San Vicente Coatlan Zapotec	sanv1242	zpt
Sanaani Arabic	sana1295	ayn
Sanapana (Retired)	sana1281	sap
Sanapana	sana1298	spn
Sandawe	sand1273	sad
Sanga (Democratic Republic of Congo)	sang1331	sng
Sanga (Nigeria)	sang1329	xsn
Sangab Mandaya	sang1338	myt
Sanggau	sang1339	scg
Sangil	sang1337	snl
Sangir	sang1336	sxn
Sangisari	sang1315	sgr
Sangkong	sang1320	sgk
Sanglechi	sang1344	sgy
Sango	sang1328	sag
Sangtam Naga	sang1321	nsa
Sangu (Gabon)	sang1333	snq
Sangu (Tanzania)	sang1330	sbp
Sani	sani1269	ysn
Sanie	sani1265	ysy
Saniyo-Hiyewe	sani1270	sny
Sankaran Maninka	sank1253	msc
Sansi	sans1271	ssi
Sansimoniano	sans1265	NA
Sanskrit	sans1269	san
Sansu	sans1276	sca
Santa Ana de Tusi Pasco Quechua	sant1433	qxt
Santa Catarina Albarradas Zapotec	sant1448	ztn
Santa Ines Ahuatempan Popoloca	sant1454	pca
Santa Ines Yatzechi Zapotec	sant1447	zpn
Santa Lucia Monteverde Mixtec	sant1439	mdv
Santa Maria La Alta Nahuatl	sant1423	nhz
Santa Maria Quiegolani Zapotec	sant1451	zpi
Santa Maria Zacatepec Mixtec	sant1436	mza
Santa Maria del Mar Huave	sant1422	hvv
Santa Teresa Cora	sant1424	cok
Santali	sant1410	sat
Santiago Xanica Zapotec	sant1452	zpr
Santiago del Estero Quichua	sant1432	qus
Santo Domingo Albarradas Zapotec	sant1450	zas
Sanuma	sanu1240	xsu
Sapara	sapa1254	NA
Saparua	sapa1251	spr
Sapo	sapo1251	krn
Saponi	sapo1254	spi
Saposa	sapo1253	sps
Sapuan	sapu1248	spu
Sape	sape1238	spc
Sar (Indonesia)	sarr1247	NA
Sar	sarr1246	mwm
Sara Dunjo	sara1320	koj
Sara Kaba Deme	sara1322	kwg
Sara Kaba Naa	sara1321	kwv
Sara Kaba	sara1319	sbz
Sara	sara1329	sre
Saraiki	sera1259	skr
Saramaccan	sara1340	srm
Sarangani Blaan	sara1326	bps
Sarangani Manobo	sara1327	mbs
Sarasira	sara1323	zsa
Saraveca	sara1331	sar
Sarawak Bisaya	sara1350	bsd
Sarikoli	sari1246	srh
Sarli	sarl1241	sdf
Sarsi	sars1236	srs
Sartang	sart1249	onp
Sarua	saru1245	swy
Sarudu	saru1242	sdu
Saruga	saru1243	sra
Sasak	sasa1249	sas
Sasaru	sasa1247	sxs
Sassarese Sardinian	sass1235	sdc
Satawalese	sata1237	stw
Saterfriesisch	sate1242	stq
Satere-Mawe	sate1243	mav
Saudi Arabian Sign Language	saud1238	sdl
Sauraseni Prakrit	saur1252	psu
Saurashtra	saur1248	saz
Sauri	saur1251	srt
Sauria Paharia	saur1249	mjt
Sause	saus1247	sao
Sausi	saus1246	ssj
Savara	sava1244	svr
Savi	savi1242	sdg
Savosavo	savo1255	svs
Sawai	sawa1247	szw
Saweru	sawe1240	swr
Sawi	sawi1257	saw
Sawila	sawi1256	swt
Sawknah-Fogaha	sawk1238	swn
Saxwe Gbe	saxw1241	sxw
Saya	saya1246	say
Sayula Popoluca	sayu1241	pos
Scanian	scan1238	NA
Scots	scot1243	sco
Scottish Gaelic	scot1245	gla
Sea Island Creole English	gull1241	gul
Seb Seliyer	sebs1234	NA
Seba	seba1247	kdg
Sebat Bet Gurage	seba1251	sgw
Seberuang	sebe1242	sbx
Sebop	sebo1238	sib
Sebuyau	sebu1243	snb
Sechelt	sech1246	sec
Sechuran	sech1236	NA
Secoya	seco1241	sey
Sedang	seda1262	sed
Sedoa	sedo1237	tvw
Seeku	seek1238	sos
Segai	sega1243	sge
Segeju	sege1246	seg
Seget	sege1235	sbg
Sehwi	sehw1238	sfw
Seimat	seim1238	ssg
Seit-Kaitetu	seit1239	hik
Sekani	seka1250	sek
Sekapan	seka1248	skp
Sekar	seka1247	skz
Seke (Nepal)	seke1240	skj
Seke (Vanuatu)	seke1241	ske
Seki	seki1238	syi
Seko Padang	seko1243	skx
Seko Tengah	seko1242	sko
Sekpele	sekp1241	lip
Selako	sela1262	skl
Selangor Sign Language	sela1253	kgi
Selaru	sela1259	slu
Selayar	sela1260	sly
Selee	sele1249	snw
Selepet	sele1250	spl
Selk'nam	onaa1245	ona
Selkup	selk1253	sel
Selungai Murut	selu1243	slg
Seluwasan	selu1242	sws
Semai	sema1266	sea
Semandang	sema1269	sdm
Semaq Beri	sema1265	szc
Sembakung Murut	semb1240	sbr
Semelai	seme1247	sza
Semendo	seme1248	sdd
Semimi	semi1264	etz
Semnam	semn1250	ssm
Semnani	semn1249	smy
Sempan	semp1241	xse
Sena	nucl1396	seh
Senara Senoufo	sena1262	seq
Senaya	sena1268	syn
Sene	sene1263	sej
Seneca	sene1264	see
Sened	sene1271	sds
Sengele	seng1278	szg
Senggi	seng1285	snu
Sengmai	seng1275	NA
Sengo	seng1284	spk
Sengseng	seng1281	ssz
Senhaja De Srair	senh1238	sjs
Sensi	sens1242	sni
Sentani	nucl1632	set
Senthang Chin	sent1260	sez
Sentinel	sent1241	std
Sepa (Indonesia)	sepa1242	spb
Sepa (Papua New Guinea)	sepa1241	spe
Sepen	sepe1240	spm
Sepik Iwam	sepi1255	iws
Sera	sera1260	sry
Serawai	sera1272	srj
Serbian	serb1264	srp
Sere	sere1264	swf
Sereer	sere1260	srr
Serengeti-Dorobo	sere1258	NA
Seri	seri1257	sei
Serili	seri1255	sve
Seroa	sero1239	kqu
Serrano	serr1255	ser
Seru	seru1247	szd
Serua	seru1245	srw
Serudung Murut	seru1246	srk
Serui-Laut	seru1244	seu
Seselwa Creole French	sese1246	crs
Seta	seta1245	stf
Setaman	seta1246	stm
Seti	seti1248	sbi
Severn Ojibwa	seve1240	ojs
Sewa Bay	sewa1251	sew
Seze	seze1235	sze
Sha	shaa1247	scw
Shabak	shab1251	sdb
Shabo	shab1252	sbf
Shahmirzadi	shah1253	srz
Shahrudi	shah1254	shm
Shakara	shak1238	nfk
Shall-Zwall	shal1242	sha
Shama-Sambuga	sham1278	sqa
Shamang	sham1277	xsh
Shambala	sham1280	ksb
Shan	shan1277	shn
Shanenawa	shan1283	swo
Shang	shan1278	NA
Shanga	shan1282	sho
Shanjo	shan1291	NA
Sharanahua	shar1245	mcd
Sharwa	shar1249	swq
Shasta	shas1239	sht
Shatt	shat1244	shj
Shau	shau1238	sqh
Shawi	chay1248	cbt
Shawnee	shaw1249	sjw
She	shee1238	shx
Shekhawati	shek1243	swv
Shekkacho	shek1244	moy
Sheko	shek1245	she
Shelta	shel1236	sth
Shempire Senoufo	shem1239	seb
Shendu	shen1247	shl
Sheni	shen1250	scv
Sherbro	sher1258	bun
Sheshi Kham	shes1236	kip
Shi	shii1238	shr
Shidong Biao	biao1253	byk
Shihhi Arabic	shih1239	ssh
Shiki	shik1242	gua
Shilluk	shil1265	shk
Shina	shin1264	scl
Shinabo	shin1267	snh
Shipibo-Conibo	ship1254	shp
Shiwa	shiw1234	NA
Shixing	shix1238	sxg
Sholaga	shol1240	sle
Shom Peng	shom1245	sii
Shona	shon1251	sna
Shoo-Minda-Nye	shoo1247	bcv
Shor	shor1247	cjs
Shoshoni	shos1248	shh
Shua	shua1254	shg
Shuadit	shua1252	sdt
Shuar	shua1257	jiv
Shubi	shub1238	suj
Shughni	shug1248	sgh
Shumashti	shum1235	sts
Shumcho	shum1243	scu
Shuswap	shus1248	shs
Shuwa-Zamani	shuw1238	ksa
Shwai	shwa1239	shw
Shwe Palaung	shwe1236	pll
Sialum	sial1240	slw
Siamou	siam1242	sif
Sian	sian1255	spg
Siane	sian1257	snp
Siang	sian1254	sya
Siar-Lak	siar1238	sjr
Siawi	siaw1243	mmp
Sibe	sibe1248	nco
Siberian Tatar	sibe1250	sty
Sibu Melanau	sibu1258	sdx
Sicana	sica1234	sxc
Sichuan Yi	sich1238	iii
Sicilian	sici1248	scn
Sicula	sicu1234	scx
Sidamo	sida1246	sid
Sidetic	side1240	xsd
Sie	siee1239	erg
Sierra Leone Sign Language	sier1246	sgx
Sierra Negra Nahuatl	sier1248	nsu
Sierra de Juarez Zapotec	sier1250	zaa
Sighu	sigh1238	sxe
Sihan	siha1245	snr
Sihuas Ancash Quechua	sihu1235	qws
Sika	sika1262	ski
Sikaiana	sika1261	sky
Sikaritai	sika1263	tty
Sikiana	siki1239	sik
Sikkimese	sikk1242	sip
Siksika	siks1238	bla
Sikule	siku1242	skh
Sila	sila1247	slt
Silacayoapan Mixtec	sila1250	mks
Silesian	sile1253	szl
Silimo	sili1249	wul
Siliput	sili1247	mkc
Silla	sill1240	NA
Silopi	silo1240	xsp
Silt'e (Retired)	silt1241	xst
Silt'e	silt1240	stv
Simaa	sima1258	sie
Simba	simb1254	sbw
Simbali	simb1259	smg
Simbari	simb1255	smb
Simbo	simb1256	sbb
Simeku	sime1242	smz
Simeulue	sime1241	smr
Simte	simt1238	smt
Sinasina	sina1271	sst
Sinaugoro	sina1266	snc
Sindang Kelingi	sind1280	sdi
Sindhi Bhil	sind1270	sbn
Sindhi	sind1272	snd
Sindihui Mixtec	sind1277	xts
Singa	sing1266	sgm
Singapore Sign Language	sing1237	sls
Singpho	sing1264	sgp
Sinhala	sinh1246	sin
Sinicahua Mixtec	sini1243	xti
Sinicized Miao	hmon1331	hmz
Sininkere	sini1242	skq
Sinsauru	sins1241	snz
Sinte Romani	sint1235	rmo
Sinyar	siny1243	sys
Sio	sioo1240	xsi
Siona-Tetete	sion1247	snn
Sipacapense	sipa1247	qum
Sira	sira1266	swj
Siraya	sira1267	fos
Sirenik Yupik	sire1246	ysr
Siri	siri1278	sir
Siriano	siri1274	sri
Siriono	siri1273	srq
Sirmauri	sirm1239	srx
Siroi	siro1249	ssd
Sirva	sile1255	sbq
Sisiqa	sisi1250	NA
Sissala of Burkina Faso	siss1242	sld
Sissano	siss1243	sso
Siti	siti1241	NA
Situ	situ1238	NA
Siuslaw	sius1254	sis
Sivandi	siva1239	siy
Siwai	siwa1245	siw
Siwi	siwi1239	siz
Siwu	siwu1238	akp
Siyin Chin	siyi1240	csy
Sizaki	siza1240	szk
Skepi Creole Dutch	skep1238	skw
Skolt Sami	skol1241	sms
Skou	nucl1634	skv
Slavomolisano	slav1254	svm
Slovak	slov1269	slk
Slovakian Sign Language	slov1263	svk
Slovenian	slov1268	slv
Smarky Kanum	smar1235	kxq
So (Cameroon)	soca1235	sox
So (Democratic Republic of Congo)	sode1235	soc
So'a	soaa1237	ssq
Sobei	sobe1238	sob
Sochiapam Chinantec	soch1239	cso
Soga	soga1242	xog
Sogdian	sogd1245	sog
Soi	soii1239	soj
Sokoro	soko1263	sok
Soli	soli1239	sby
Solombala English	solo1261	NA
Solomon Islands Sign Language	solo1262	szs
Solong	solo1258	aaw
Solos	solo1257	sol
Soltec	solt1234	NA
Solu-Khumbu Sherpa	sher1255	xsr
Som	somm1240	smc
Somali	soma1255	som
Somrai	somr1248	sor
Somray of Battambang-Somre of Siem Reap	somr1240	smu
Somyev	somy1238	kgt
Sonaga	sona1244	ysg
Sonde	sond1250	shc
Songa	song1304	sgo
Songe	song1303	sop
Songoora	song1300	sod
Sonha	sonh1238	soi
Sonia	soni1260	siq
Soninke	soni1259	snk
Sonsorol	sons1242	sov
Soo	sooo1256	teu
Sop	sopp1247	urw
Soqotri	soqo1240	sqt
Sora	sora1254	srb
Sorbung	sorb1250	NA
Sori-Harengan	sori1242	sbh
Sorkhei	sork1239	sqo
Sorsogon Ayta	sors1239	ays
Sos Kundi	sosk1235	sdk
Sota Kanum	sota1242	krz
Sou	souu1238	sqq
Sougb	mani1235	mnx
Souletin Basque	soul1243	bsz
South African Sign Language	sout1404	sfs
South Australian Pidgin English	sout3227	NA
South Awyu	sout2941	aws
South Azerbaijani	sout2697	azb
South Bolivian Quechua	sout2991	quh
South Central Banda	sout2787	lnl
South Central Dinka	sout2833	dib
South Efate	sout2856	erk
South Fali	sout2782	fal
South Giziga	sout3051	giz
South Lembata	sout2896	lmf
South Levantine Arabic	sout3123	ajp
South Lucanian	sout3126	NA
South Marquesan	sout2866	mqm
South Muyu	sout2940	kts
South Nuaulu	sout2895	nxl
South Slavey	sout2959	xsl
South Tairora	sout2943	omw
South Ucayali Asheninka	sout3127	cpy
South Wa	para1301	prk
South Watut	sout2877	mcy
South Wemale	sout2892	tlw
South-Arabian-Unknown-k	sout2466	NA
South-Central Kikongo	koon1244	kng
South-Eastern Ju	juho1239	ktz
South-Eastern-Tasmanian-Hinterland	sout1439	NA
Southeast Ambrym	sout2859	tvk
Southeast Babar	sout2883	vbb
Southeast Ijo	sout2774	ijs
Southeast Pashayi	sout2672	psi
Southeastern Dinka	sout2834	dks
Southeastern Ixtlan Zapotec	sout3005	zpd
Southeastern Kolami	sout1549	nit
Southeastern Nochixtlan Mixtec	sout3002	mxy
Southeastern Pomo	sout2982	pom
Southeastern Puebla Nahuatl	sout3223	nhs
Southeastern Tarahumara	sout2972	tcu
Southeastern Tepehuan	sout2976	stp
Southern Alta	sout2905	agy
Southern Altai	sout2694	alt
Southern Amami-Oshima	sout2954	ams
Southern Aymara	sout2996	ayc
Southern Bai	sout2730	bfs
Southern Balochi	sout2642	bcc
Southern Betsimisaraka Malagasy (Retired)	sout3125	bjq
Southern Betsimisaraka Malagasy	sout2920	bzc
Southern Binukidnon	maga1264	mtw
Southern Birifor	sout2790	biv
Southern Bobo Madare	sout2840	bwq
Southern Carrier	sout2958	caf
Southern Coastal Yuin	sout2771	xtv
Southern Conchucos Ancash Quechua	sout2992	qxo
Southern Dong	sout2741	kmc
Southern East Cree	sout2978	crj
Southern Ghale	sout2715	ghe
Southern Gondi	sout2711	ggo
Southern Grebo	sout2826	grj
Southern Guiyang Hmong	sout1555	hmy
Southern Gumuz	sout3236	NA
Southern Haida	sout2956	hax
Southern Hindko	sout2668	hnd
Southern Inland Yuin	sout2770	NA
Southern Katang	sout3251	sct
Southern Khanty	sout3226	NA
Southern Kisi	sout2778	kss
Southern Kiwai	sout2949	kjd
Southern Kurdish	sout2640	sdh
Southern Lalo	sout3210	NA
Southern Lolopo	sout3129	ysp
Southern Luri	sout2647	luz
Southern Ma'di	sout2828	snm
Southern Mansi	sout3253	NA
Southern Marakwet	sout3225	tle
Southern Mashan Hmong	sout1556	hma
Southern Mfumte	mfum1238	nfu
Southern Mnong	sout2692	mnn
Southern Muji	sout2722	ymc
Southern Nambikuara	sout2994	nab
Southern Ngbandi	sout2784	nbw
Southern Nicobarese	sout2689	nik
Southern Nisu	sout2723	nsd
Southern Nuni	sout2795	nnw
Southern Ohlone	sout2986	css
Southern One	sout2932	osu
Southern Pame	sout2999	pmz
Southern Pashto	sout2649	pbt
Southern Pastaza Quechua	sout2990	qup
Southern Pesisir	sout3224	pec
Southern Pinghua	sout3250	NA
Southern Pomo	sout2984	peq
Southern Puebla Mixtec	sout3001	mit
Southern Puget Sound Salish	sout2965	slh
Southern Pumi	sout2729	pmj
Southern Qiandong Miao	sout2754	hms
Southern Qiang	sout2728	qxs
Southern Rengma Naga	sout2732	nre
Southern Rincon Zapotec	sout3004	zsr
Southern Roglai	sout3010	rgs
Southern Sama	sout2918	ssb
Southern Sami	sout2674	sma
Southern Samo	sout2844	sbd
Southern Sierra Miwok	sout2985	skd
Southern Sotho	sout2807	sot
Southern Thai	sout2746	sou
Southern Tidung	sout3241	itd
Southern Tiwa	sout2961	tix
Southern Toussian	sout2797	wib
Southern Tujia	sout2739	tjs
Southern Tutchone	sout2957	tce
Southern Uzbek	sout2699	uzs
Southern Yamphu	sout2734	lrr
Southern Yukaghir	sout2750	yux
Southern Zhuang	sout3221	ccy
Southern-Coastal Tsimshian	nucl1649	tsi
Southwest Gbaya (Retired)	sout3222	mdo
Southwest Gbaya	sout2785	gso
Southwest Palawano	sout2916	plv
Southwest Pashayi	sout2671	psh
Southwest Tanna	sout2869	nwi
Southwestern Dinka	sout2832	dik
Southwestern Guiyang Hmong	sout2756	hmg
Southwestern Huishui Hmong	sout2755	hmh
Southwestern Nisu	sout3128	nsv
Southwestern Tamang	sout2718	tsf
Southwestern Tarahumara	sout2971	twr
Southwestern Tepehuan	sout2977	tla
Southwestern Tlaxiaco Mixtec	sout3000	meh
Sowa	sowa1244	sww
Sowanda	sowa1245	sow
Soyaltepec Mazatec	soya1237	vmp
Soyaltepec Mixtec	soya1236	vmq
Spanish Sign Language	span1263	ssp
Spanish	stan1288	spa
Spiti Bhoti	spit1240	spt
Spokane	spok1245	spo
Squamish	squa1248	squ
Sranan Tongo	sran1240	srn
Srenge	aruo1240	lsr
Sri Lanka Malay	sril1245	sci
Sri Lankan Sign Language	sril1237	sqs
Standard Arabic	stan1318	arb
Standard Malay	stan1306	zsm
Stellingwerfs	stel1238	stl
Stod Bhoti	stod1241	sbu
Stodsde	shan1274	jih
Stoney	ston1242	sto
Straits Salish	stra1244	str
Suabo	suab1238	szp
Suau	suau1242	swp
Suba (Retired)	suba1254	suh
Suba	suba1238	sxb
Suba-Simbiti	suba1252	ssc
Subi	subi1247	xsj
Subiya	subi1246	sbs
Subtiaba	subt1250	sut
Sud Oranais-Gourara	tazn1238	grr
Sudanese Arabic	suda1236	apd
Sudanese Creole Arabic	suda1237	pga
Sudest	sude1239	tgo
Suena	suen1241	sue
Sufrai	tarp1241	suf
Suganga	suga1249	sug
Sugut Dusun	sugu1243	kzs
Sui	suii1243	swi
Suki	suki1245	sui
Suku	suku1259	sub
Sukuma	suku1261	suk
Sukur	suku1272	syk
Sukurum	suku1264	zsu
Sula	sula1245	szn
Sulka	sulk1246	sua
Sulod	sulo1237	srg
Suma	suma1264	sqm
Sumariup	suma1269	siv
Sumau	suma1270	six
Sumayela Ndebele	sout2808	nbl
Sumbawa	sumb1241	smw
Sumbwa	sumb1240	suw
Sumerian	sume1241	sux
Sumi Naga	sumi1235	nsm
Sumtu Chin	sumt1234	csv
Sunam	suna1241	ssk
Sundanese	sund1252	sun
Sungkai (Indonesia)	sung1271	suu
Sunwadia	mari1426	mrb
Sunwar	sunw1242	suz
Suoy	suoy1242	syo
Supyire Senoufo	supy1237	spp
Sur	surr1238	tdl
Surbakhal	surb1238	sbj
Surgut Khanty	surg1248	NA
Surigaonon	suri1273	sgd
Surjapuri	surj1235	sjp
Sursurunga	surs1246	sgz
Suruaha	suru1263	swx
Surui Do Para	suru1261	mdz
Surui	suru1262	sru
Susquehannock	susq1241	sqn
Susu	susu1250	sus
Susuami	susu1251	ssu
Suundi	suun1239	sdj
Suwawa	suwa1241	swu
Suya	suya1243	suy
Svan	svan1243	sva
Swabian	swab1242	swg
Swahili	swah1253	swh
Swampy Cree	swam1239	csw
Swati	swat1243	ssw
Swedish Sign Language	swed1236	swl
Swedish	swed1254	swe
Swiss German	swis1247	gsw
Swiss-French Sign Language	swis1241	ssr
Swiss-German Sign Language	swis1240	sgg
Swiss-Italian Sign Language	swis1235	slf
Syan	syan1242	NA
Sydney	sydn1236	xdk
Syenara Senoufo	syen1235	shz
Sylheti	sylh1242	syl
Syriem	syri1242	NA
Saliba	sali1298	slc
Sao Paulo Kaingang	saop1235	zkp
Saotomense	saot1239	cri
Sicite Senoufo	sici1249	sep
So	sooo1254	sss
T'apo	opuu1239	lgn
T'en	tenn1245	tct
Ta'izzi-Adeni Arabic	taiz1242	acq
Taabwa	taab1238	tap
Tabaa Zapotec	taba1268	zat
Tabancal	taba1269	NA
Tabaru	taba1263	tby
Tabasaran	taba1259	tab
Tabasco Chontal	taba1266	chf
Tabasco Nahuatl	taba1265	nhc
Tabasco Zoque	taba1264	zoq
Tabla	tabl1243	tnm
Tabo	tabo1241	knv
Tabriak	tabr1243	tzx
Tacahua-Yolotepec Mixtec	taca1257	xtt
Tacana	taca1256	tna
Tacanec	taca1258	mtz
Tachelhit	tach1250	shi
Tachoni	tach1242	lts
Tacunyape	tacu1234	NA
Tadaksahak	tada1238	dsq
Tado-Lindu	lind1248	klw
Tadyawan	tady1237	tdy
Tae'	taee1237	rob
Taensa	taen1234	NA
Tafi	tafi1243	tcd
Tagabawa	taga1272	bgs
Tagakaulu Kalagan	taga1268	klg
Tagal Murut	taga1273	mvv
Tagalaka	taga1279	tgz
Tagalog	taga1270	tgl
Tagbanwa	tagb1258	tbw
Tagbu	tagb1255	tbm
Tagdal	tagd1238	tda
Tagin	tagi1241	tgj
Tagish	tagi1240	tgx
Tagoi	tago1246	tag
Tagwana Senoufo	tagw1240	tgw
Tahaggart Tamahaq	taha1241	thv
Tahitian	tahi1242	tah
Tahltan	tahl1239	tht
Tai Daeng	taid1249	tyr
Tai Dam	taid1247	blt
Tai Do-Mene-Yo	taid1248	tyj
Tai Don	taid1250	twh
Tai Hongjin	taih1246	tiz
Tai Laing	tail1248	tjl
Tai Long	tail1247	thi
Tai Nua	tain1252	tdd
Tai Pao (Retired)	taih1245	thc
Tai Pao	taip1250	tpo
Tai Thanh	tait1248	tmm
Tai Ya	taiy1242	cuu
Tai	taii1241	taw
Taiap	taia1239	gpn
Taikat	taik1255	aos
Taimyr Pidgin Russian	taim1252	NA
Tainae	tain1253	ago
Taino	tain1254	tnq
Tairuma	tair1256	uar
Taita	tait1250	dav
Taiwan Sign Language	taiw1241	tss
Taje	taje1237	pee
Tajik	taji1245	tgk
Tajiki Arabic	taji1248	abh
Tajio	taji1246	tdj
Tajuasohn	taju1238	tja
Takelma	take1257	tkm
Takestani	take1255	tks
Takia	taki1248	tbc
Takpa (Retired)	takp1246	tkk
Takua	taku1254	tkz
Takuu	taku1257	nho
Takwane	takw1238	tke
Tal	tall1250	tal
Tala	tala1295	tak
Talaandig-Binukid	binu1244	bkd
Talaud	tala1285	tld
Taliabu	tali1262	tlv
Talieng	tali1257	tdf
Talinga-Bwisi	tali1258	tlj
Talise	tali1259	tlr
Tallan	tall1235	NA
Taloki	talo1252	tlk
Talondo'	talo1251	tln
Talossan	talo1253	tzl
Talur	talu1239	ilw
Tama (Chad)	tama1331	tma
Tama (Colombia)	tama1340	ten
Tamagario	tama1336	tcg
Tamambo	malo1243	mla
Taman (Indonesia)	tama1335	tmn
Taman (Myanmar)	tama1328	tcl
Tamanaku	tama1338	tmz
Tamasheq	tama1365	taq
Tamazola Mixtec	tama1339	vmx
Tambas	tamb1267	tdk
Tambora	tamb1257	xxt
Tambotalo	tamb1253	tls
Tambunan Dusun	tamb1254	kzt
Tami	tami1290	tmy
Tamil	tami1289	tam
Tamki	tamk1242	tax
Tamnim Citak	tamn1235	tml
Tampias Lobu	tamp1254	low
Tampuan	tamp1251	tpu
Tampulma	tamp1252	tpm
Tanacross	tana1290	tcb
Tanahmerah	tana1288	tcm
Tanaina	tana1289	tfn
Tanapag	tana1281	tpv
Tandaganon	tand1258	tgn
Tandia	tand1253	tni
Tandroy-Mahafaly Malagasy	tand1256	tdx
Tanema	tane1237	tnx
Tangale	nucl1696	tan
Tangam	tang1377	NA
Tangchangya	tang1330	tnv
Tangga	tang1348	tgg
Tanggu	tang1355	tgu
Tangkhul Naga	tang1336	nmf
Tangko	tang1353	tkx
Tanglang-Toloza	tang1372	ytl
Tangshewi	tang1374	tnf
Tanguat	tang1356	tbs
Tangut	tang1334	txg
Tangwang	tang1373	NA
Tanimbili	tani1255	tbe
Tanimuca-Retuara	tani1257	tnc
Tanjijili	tanj1247	uji
Tanjong	tanj1248	tnj
Tanosy Malagasy	tano1246	txy
Tanpachoa	tanp1235	NA
Tanudan Kalinga	lowe1412	kml
Tanzanian Sign Language	tanz1238	tza
Taos Northern Tiwa	nort1550	twf
Tapachultec	tapa1260	qcs
Tapajo	tapa1261	NA
Tapeba	tape1236	tbb
Tapei	tape1242	afp
Tapiete	tapi1253	tpj
Tapirape	tapi1254	taf
Tarairiu	tara1303	NA
Tarao	tara1313	tro
Tareng	tare1239	tgr
Tariana	tari1256	tae
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	tari1263	rif
Tarjumo	tarj1235	txj
Tarok	taro1263	yer
Taroko	taro1264	trv
Tarpia	tarp1240	tpf
Tartessian	tart1237	txr
Taruma	taru1236	tdm
Tasawaq	tasa1240	twq
Tasmanian	tasm1247	xtz
Tasmate	tasm1246	tmt
Tasomi-Tata	talo1250	tlo
Tataltepec Chatino	tata1258	cta
Tatana	tata1257	txx
Tatar	tata1255	tat
Tatuyo	tatu1247	tav
Tauade	taua1242	ttd
Taulil	taul1251	tuh
Taungyo	taun1248	tco
Taupota	taup1242	tpa
Tause	taus1252	tad
Taushiro	taus1253	trr
Tausug	taus1251	tsg
Taut Batu	taut1234	NA
Tauya	tauy1241	tya
Taveta	tave1240	tvs
Tavoyan	tavo1242	tvn
Tavringer Romani	tavr1235	rmu
Tawala	tawa1275	tbo
Tawallammat Tamajaq	tawa1286	ttq
Tawande	tawa1278	xtw
Tawang Monpa	tawa1289	twm
Tawara	tawa1270	twl
Tawende	tawe1235	NA
Taworta	tawo1244	tbp
Tawoyan	tawo1243	twy
Tawra	diga1241	mhu
Tay Boi	tayb1240	tas
Tay Khang	tayk1238	tnu
Tayabas Ayta near Lucena City in Western Quezon	taya1256	ayy
Tayart Tamajeq	taya1257	thz
Tayo	tayo1238	cks
Tboli	tbol1240	tbl
Tchitchege	tchi1245	tck
Tchumbuli	tchu1241	bqa
Te'un	teun1241	tve
Teanu	tean1237	tkw
Tebul Sign Language	tebu1240	tsy
Tebul Ure Dogon	tebu1239	dtu
Tecpatlan Totonac	tecp1235	tcw
Tedaga	teda1241	tuq
Tedim Chin	tedi1235	ctd
Tee	teee1242	tkq
Tefaro	tefa1238	tfo
Tegali	tega1236	ras
Teguima	opat1246	opt
Tehit	tehi1237	kps
Tehuelche	tehu1242	teh
Teiwa	teiw1235	twe
Tejalapan Zapotec	teja1235	ztt
Teke-Eboo-Nzikou	teke1278	ebo
Teke-Fuumu	teke1274	ifm
Teke-Kukuya	teke1280	kkw
Teke-Laali	teke1277	lli
Teke-Nzikou	teke1279	nzu
Teke-Tege	teke1275	teg
Teke-Tsaayi	teke1281	tyi
Teke-Tyee	teke1276	tyx
Tektiteko	tekt1235	ttc
